season,week,celebrity_name,vote_hat,vote_share_hat,uncertainty
31,2,Charli D'Amelio,825643.1093278269,0.08256431093278269,0.00010212965584877882
31,2,Cheryl Ladd,549877.8445209663,0.05498778445209663,0.00010212965584877882
31,2,Daniel Durant,747246.6901713343,0.07472466901713343,0.00010212965584877882
31,2,Gabby Windey,825612.5547364689,0.0825612554736469,0.00010212965584877882
31,2,Heidi D'Amelio,723936.1713762999,0.07239361713763,0.00010212965584877882
31,2,Jason Lewis,120.1680612596923,1.201680612596923e-05,0.00010212965584877882
31,2,Jordin Sparks,696841.4268592024,0.06968414268592024,0.00010212965584877882
31,2,Joseph Baena,611647.8040239398,0.06116478040239398,0.00010212965584877882
31,2,Sam Champion,666853.7891857041,0.0666853789185704,0.00010212965584877882
31,2,Selma Blair,723958.4239684589,0.07239584239684589,0.00010212965584877882
31,2,Shangela,723964.1873458852,0.07239641873458852,0.00010212965584877882
31,2,Teresa Giudice,596726.7658061166,0.059672676580611664,0.00010212965584877882
31,2,Trevor Donovan,773725.6822594636,0.07737256822594636,0.00010212965584877882
31,2,Vinny Guadagnino,696966.8049419996,0.06969668049419996,0.00010212965584877882
31,2,Wayne Brady,825657.8087608789,0.08256578087608789,0.00010212965584877882
31,3,Charli D'Amelio,879019.741833942,0.0879019741833942,0.00010212965584877882
31,3,Cheryl Ladd,636865.1172043388,0.06368651172043388,0.00010212965584877882
31,3,Daniel Durant,823153.3024226179,0.08231533024226179,0.00010212965584877882
31,3,Gabby Windey,879051.097751961,0.0879051097751961,0.00010212965584877882
31,3,Heidi D'Amelio,845572.0683450227,0.08455720683450227,0.00010212965584877882
31,3,Jordin Sparks,768918.515305302,0.0768918515305302,0.00010212965584877882
31,3,Joseph Baena,769015.6983659924,0.07690156983659924,0.00010212965584877882
31,3,Sam Champion,664398.6675262051,0.06643986675262051,0.00010212965584877882
31,3,Selma Blair,742879.6801877581,0.07428796801877581,0.00010212965584877882
31,3,Shangela,799069.6682728266,0.07990696682728265,0.00010212965584877882
31,3,Teresa Giudice,18.577688092286923,1.8577688092286922e-06,0.00010212965584877882
31,3,Trevor Donovan,716322.274265391,0.0716322274265391,0.00010212965584877882
31,3,Vinny Guadagnino,608632.2530145802,0.06086322530145802,0.00010212965584877882
31,3,Wayne Brady,879097.7899693007,0.08790977899693007,0.00010212965584877882
31,4,Charli D'Amelio,950162.2979150427,0.09501622979150427,0.00010212965584877882
31,4,Cheryl Ladd,109.7469567752477,1.097469567752477e-05,0.00010212965584877882
31,4,Daniel Durant,765833.2898094455,0.07658332898094455,0.00010212965584877882
31,4,Gabby Windey,950162.2979150426,0.09501622979150426,0.00010212965584877882
31,4,Heidi D'Amelio,900171.4678776294,0.09001714678776294,0.00010212965584877882
31,4,Jordin Sparks,900431.0536484285,0.09004310536484285,0.00010212965584877882
31,4,Joseph Baena,737507.2821960573,0.07375072821960572,0.00010212965584877882
31,4,Sam Champion,657855.8421123903,0.06578558421123903,0.00010212965584877882
31,4,Selma Blair,844527.2206077853,0.08445272206077853,0.00010212965584877882
31,4,Shangela,844547.2774173992,0.08445472774173993,0.00010212965584877882
31,4,Trevor Donovan,737601.8907929142,0.07376018907929142,0.00010212965584877882
31,4,Vinny Guadagnino,764315.5409704377,0.07643155409704377,0.00010212965584877882
31,4,Wayne Brady,950160.3195227737,0.09501603195227737,0.00010212965584877882
31,5,Charli D'Amelio,1014276.0753581843,0.10142760753581843,0.00010212965584877882
31,5,Daniel Durant,807985.8809373956,0.08079858809373956,0.00010212965584877882
31,5,Gabby Windey,992146.7616057376,0.09921467616057376,0.00010212965584877882
31,5,Heidi D'Amelio,942529.5456180015,0.09425295456180015,0.00010212965584877882
31,5,Jordin Sparks,860519.1982733322,0.08605191982733322,0.00010212965584877882
31,5,Joseph Baena,844901.8640673761,0.08449018640673761,0.00010212965584877882
31,5,Sam Champion,109.7469567757473,1.097469567757473e-05,0.00010212965584877882
31,5,Selma Blair,968409.9299963105,0.09684099299963105,0.00010212965584877882
31,5,Shangela,933067.8276275129,0.09330678276275128,0.00010212965584877882
31,5,Trevor Donovan,877918.6174808278,0.08779186174808279,0.00010212965584877882
31,5,Vinny Guadagnino,711344.5429849614,0.07113445429849614,0.00010212965584877882
31,5,Wayne Brady,992144.7832134686,0.09921447832134686,0.00010212965584877882
31,6,Charli D'Amelio,1280383.1947532776,0.12803831947532776,0.00010212965584877882
31,6,Daniel Durant,1088248.702513838,0.10882487025138379,0.00010212965584877882
31,6,Gabby Windey,1182750.2006949333,0.11827502006949332,0.00010212965584877882
31,6,Heidi D'Amelio,1149454.1066820025,0.11494541066820024,0.00010212965584877882
31,6,Jordin Sparks,1088174.7264644552,0.10881747264644553,0.00010212965584877882
31,6,Joseph Baena,122.13801467635577,1.2213801467635576e-05,0.00010212965584877882
31,6,Selma Blair,96.24569856401854,9.624569856401855e-06,0.00010212965584877882
31,6,Shangela,1149362.9063635122,0.11493629063635122,0.00010212965584877882
31,6,Trevor Donovan,1088183.4269833749,0.10881834269833748,0.00010212965584877882
31,6,Vinny Guadagnino,891700.6154449672,0.08917006154449672,0.00010212965584877882
31,6,Wayne Brady,1088333.3856508387,0.10883333856508387,0.00010212965584877882
31,7,Charli D'Amelio,1199219.2676618483,0.11992192676618484,0.00010212965584877882
31,7,Daniel Durant,1121669.4106024092,0.11216694106024092,0.00010212965584877882
31,7,Gabby Windey,1089989.5817735773,0.10899895817735772,0.00010212965584877882
31,7,Heidi D'Amelio,1074735.1250161615,0.10747351250161616,0.00010212965584877882
31,7,Jordin Sparks,1060923.9735706686,0.10609239735706687,0.00010212965584877882
31,7,Shangela,1121922.020631278,0.1121922020631278,0.00010212965584877882
31,7,Trevor Donovan,1198733.093606544,0.1198733093606544,0.00010212965584877882
31,7,Vinny Guadagnino,967575.5336841109,0.09675755336841109,0.00010212965584877882
31,7,Wayne Brady,1169987.0477348324,0.11699870477348323,0.00010212965584877882
31,8,Charli D'Amelio,1433602.5208957326,0.14336025208957326,0.00010212965584877882
31,8,Daniel Durant,1242743.1592397403,0.12427431592397403,0.00010212965584877882
31,8,Gabby Windey,1273603.37533995,0.127360337533995,0.00010212965584877882
31,8,Heidi D'Amelio,1116308.2403326363,0.11163082403326363,0.00010212965584877882
31,8,Jordin Sparks,76.4585651756172,7.645856517561719e-06,0.00010212965584877882
31,8,Shangela,1337142.6722945548,0.13371426722945548,0.00010212965584877882
31,8,Trevor Donovan,1242741.180847471,0.12427411808474711,0.00010212965584877882
31,8,Vinny Guadagnino,923313.7586956349,0.09233137586956348,0.00010212965584877882
31,8,Wayne Brady,1432934.666090166,0.1432934666090166,0.00010212965584877882
31,9,Charli D'Amelio,1819476.3620453791,0.1819476362045379,0.00010212965584877882
31,9,Daniel Durant,1567950.7379969906,0.15679507379969906,0.00010212965584877882
31,9,Gabby Windey,1820392.4277013934,0.18203924277013933,0.00010212965584877882
31,9,Heidi D'Amelio,146.50666905276393,1.4650666905276392e-05,0.00010212965584877882
31,9,Shangela,1659358.2451833747,0.16593582451833747,0.00010212965584877882
31,9,Trevor Donovan,1476562.16114533,0.147656216114533,0.00010212965584877882
31,9,Vinny Guadagnino,78.12891717232951,7.81289171723295e-06,0.00010212965584877882
31,9,Wayne Brady,1659617.797881234,0.1659617797881234,0.00010212965584877882
31,10,Charli D'Amelio,2563426.4503287086,0.25634264503287085,0.00010212965584877882
31,10,Daniel Durant,102.15932833399287,1.0215932833399287e-05,0.00010212965584877882
31,10,Gabby Windey,2564114.01196812,0.256411401196812,0.00010212965584877882
31,10,Shangela,2435802.4685907024,0.24358024685907026,0.00010212965584877882
31,10,Trevor Donovan,152.01273637223358,1.5201273637223356e-05,0.00010212965584877882
31,10,Wayne Brady,2435614.582795969,0.24356145827959694,0.00010212965584877882
32,2,Adrian Peterson,789677.9924061027,0.07896779924061027,0.00010212965584877882
32,2,Alyson Hannigan,1002678.013492762,0.1002678013492762,0.00010212965584877882
32,2,Ariana Madix,1054885.3336259248,0.10548853336259248,0.00010212965584877882
32,2,Barry Williams,789931.1803126942,0.07899311803126942,0.00010212965584877882
32,2,Charity Lawson,1108180.226175232,0.11081802261752322,0.00010212965584877882
32,2,Jamie Lynn Spears,842372.0933975544,0.08423720933975544,0.00010212965584877882
32,2,Jason Mraz,1259416.1804487885,0.12594161804487886,0.00010212965584877882
32,2,Matt Walsh,441.97048989563365,4.4197048989563366e-05,0.00010212965584877882
32,2,Mira Sorvino,947252.9146200495,0.09472529146200495,0.00010212965584877882
32,2,Tyson Beckford,947475.8647707736,0.09474758647707736,0.00010212965584877882
32,2,Xochitl Gomez,1259588.2836412112,0.12595882836412112,0.00010212965584877882
32,3,Adrian Peterson,878995.522268805,0.08789955222688049,0.00010212965584877882
32,3,Alyson Hannigan,964267.5939761051,0.09642675939761051,0.00010212965584877882
32,3,Ariana Madix,1363608.9270026858,0.13636089270026858,0.00010212965584877882
32,3,Barry Williams,1002345.2743512046,0.10023452743512046,0.00010212965584877882
32,3,Charity Lawson,1284011.9059649105,0.12840119059649105,0.00010212965584877882
32,3,Jamie Lynn Spears,-8.239247779790507,-8.239247779790507e-07,0.00010212965584877882
32,3,Jason Mraz,1364029.5847664443,0.13640295847664444,0.00010212965584877882
32,3,Mira Sorvino,1044314.79372468,0.104431479372468,0.00010212965584877882
32,3,Tyson Beckford,803601.2933929573,0.08036012933929573,0.00010212965584877882
32,3,Xochitl Gomez,1284203.6013982282,0.12842036013982283,0.00010212965584877882
32,4,Adrian Peterson,1181653.3628119328,0.11816533628119329,0.00010212965584877882
32,4,Alyson Hannigan,1011204.5834384309,0.10112045834384309,0.00010212965584877882
32,4,Ariana Madix,1402918.1839330327,0.14029181839330326,0.00010212965584877882
32,4,Barry Williams,1011161.5908164595,0.10111615908164595,0.00010212965584877882
32,4,Charity Lawson,1345247.938543551,0.1345247938543551,0.00010212965584877882
32,4,Jason Mraz,1345174.77981295,0.134517477981295,0.00010212965584877882
32,4,Mira Sorvino,1181693.0817657767,0.11816930817657767,0.00010212965584877882
32,4,Tyson Beckford,104.87760347255161,1.0487760347255162e-05,0.00010212965584877882
32,4,Xochitl Gomez,1517174.9147379536,0.15171749147379535,0.00010212965584877882
32,5,Adrian Peterson,95.2506877218401,9.525068772184009e-06,0.00010212965584877882
32,5,Alyson Hannigan,1206099.006583751,0.1206099006583751,0.00010212965584877882
32,5,Ariana Madix,1375937.8700803993,0.13759378700803993,0.00010212965584877882
32,5,Barry Williams,1376002.3594056824,0.13760023594056825,0.00010212965584877882
32,5,Charity Lawson,1607561.4383263155,0.16075614383263154,0.00010212965584877882
32,5,Jason Mraz,1552704.2332855018,0.15527042332855018,0.00010212965584877882
32,5,Mira Sorvino,1267507.1401299592,0.12675071401299592,0.00010212965584877882
32,5,Xochitl Gomez,1607909.996994619,0.1607909996994619,0.00010212965584877882
32,6,Alyson Hannigan,1390386.099393213,0.1390386099393213,0.00010212965584877882
32,6,Ariana Madix,1838564.121940647,0.1838564121940647,0.00010212965584877882
32,6,Barry Williams,1435091.3001139713,0.14350913001139715,0.00010212965584877882
32,6,Charity Lawson,1703122.8161426655,0.17031228161426654,0.00010212965584877882
32,6,Jason Mraz,1746535.720225711,0.1746535720225711,0.00010212965584877882
32,6,Mira Sorvino,106.30407000185741,1.063040700018574e-05,0.00010212965584877882
32,6,Xochitl Gomez,1883386.7433903285,0.18833867433903284,0.00010212965584877882
32,7,Alyson Hannigan,1640187.8334106298,0.16401878334106298,0.00010212965584877882
32,7,Ariana Madix,1731130.4682313974,0.17311304682313974,0.00010212965584877882
32,7,Barry Williams,1519033.755486463,0.1519033755486463,0.00010212965584877882
32,7,Charity Lawson,1686165.7916522576,0.16861657916522577,0.00010212965584877882
32,7,Jason Mraz,1686165.7916522583,0.16861657916522582,0.00010212965584877882
32,7,Xochitl Gomez,1731102.803349973,0.17311028033499729,0.00010212965584877882
32,8,Alyson Hannigan,1597624.5731829405,0.15976245731829405,0.00010212965584877882
32,8,Ariana Madix,1871851.1380409428,0.18718511380409428,0.00010212965584877882
32,8,Barry Williams,1555327.6175954344,0.15553276175954345,0.00010212965584877882
32,8,Charity Lawson,1731454.7376640877,0.17314547376640876,0.00010212965584877882
32,8,Jason Mraz,1467177.0565965504,0.14671770565965503,0.00010212965584877882
32,8,Xochitl Gomez,1776340.7975134929,0.1776340797513493,0.00010212965584877882
32,9,Alyson Hannigan,1678741.3658552524,0.16787413658552525,0.00010212965584877882
32,9,Ariana Madix,1938219.2561926888,0.1938219256192689,0.00010212965584877882
32,9,Barry Williams,55.19754928410312,5.519754928410312e-06,0.00010212965584877882
32,9,Charity Lawson,1990105.5293710653,0.19901055293710654,0.00010212965584877882
32,9,Jason Mraz,2253150.331141743,0.2253150331141743,0.00010212965584877882
32,9,Xochitl Gomez,2145607.5672983583,0.21456075672983582,0.00010212965584877882
32,10,Alyson Hannigan,1791298.3145120877,0.17912983145120878,0.00010212965584877882
32,10,Ariana Madix,2034432.1658112335,0.20344321658112335,0.00010212965584877882
32,10,Charity Lawson,2067597.6491586142,0.20675976491586143,0.00010212965584877882
32,10,Jason Mraz,1997265.7159249138,0.19972657159249138,0.00010212965584877882
32,10,Xochitl Gomez,2107258.6633325866,0.21072586633325868,0.00010212965584877882
32,11,Alyson Hannigan,1820227.8586284753,0.18202278586284754,0.00010212965584877882
32,11,Ariana Madix,2028244.6427830004,0.20282446427830003,0.00010212965584877882
32,11,Charity Lawson,2028332.9998492375,0.20283329998492375,0.00010212965584877882
32,11,Jason Mraz,2062537.448417871,0.2062537448417871,0.00010212965584877882
32,11,Xochitl Gomez,2062769.5575107494,0.20627695575107494,0.00010212965584877882
33,2,Brooks Nader,828991.8066171018,0.08289918066171018,0.00010212965584877882
33,2,Chandler Kinney,993404.665203246,0.0993404665203246,0.00010212965584877882
33,2,Danny Amendola,867288.3850015439,0.08672883850015439,0.00010212965584877882
33,2,Dwight Howard ,913030.8598785799,0.09130308598785798,0.00010212965584877882
33,2,Eric Roberts,612579.0939188845,0.06125790939188845,0.00010212965584877882
33,2,Ilona Maher,867714.1988642997,0.08677141988642997,0.00010212965584877882
33,2,Jenn Tran,790017.3116812762,0.07900173116812761,0.00010212965584877882
33,2,Joey Graziadei,913022.5326672381,0.09130225326672381,0.00010212965584877882
33,2,Phaedra Parks,867645.0536079109,0.08676450536079108,0.00010212965584877882
33,2,Reginald VelJohnson,612607.5896277733,0.06126075896277733,0.00010212965584877882
33,2,Stephen Nedoroscik,913022.5326672384,0.09130225326672384,0.00010212965584877882
33,2,Tori Spelling,790081.0174471068,0.07900810174471068,0.00010212965584877882
33,3,Brooks Nader,961733.5564274072,0.09617335564274072,0.00010212965584877882
33,3,Chandler Kinney,1082252.2111365767,0.10822522111365768,0.00010212965584877882
33,3,Danny Amendola,942209.8023761674,0.09422098023761674,0.00010212965584877882
33,3,Dwight Howard ,817813.3775891047,0.08178133775891047,0.00010212965584877882
33,3,Eric Roberts,724150.429199188,0.0724150429199188,0.00010212965584877882
33,3,Ilona Maher,880248.0038014296,0.08802480038014296,0.00010212965584877882
33,3,Jenn Tran,978162.288418388,0.0978162288418388,0.00010212965584877882
33,3,Joey Graziadei,1100284.7807647563,0.11002847807647563,0.00010212965584877882
33,3,Phaedra Parks,880038.1143474396,0.08800381143474396,0.00010212965584877882
33,3,Reginald VelJohnson,658204.8868400067,0.06582048868400067,0.00010212965584877882
33,3,Stephen Nedoroscik,978048.4867734743,0.09780484867734743,0.00010212965584877882
